startup,industry,season,ask_amount,equity_offered,sentiment_label,sentiment_score,investment_score,risk_level,verdict,actual_deal,predicted_deal
Hopscotch,Technology/Software,12,400000.0,4.0,Neutral,0,61.0,Medium-Low,Consider,1,1
Saucemoto,Automotive,10,45000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Ride-OnCarry-On,Travel,2,50000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,1,1
ManMedals,Uncertain/Other,5,10000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
ZinePak,Media/Entertainment,6,725000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
TheMenschOnABench,Lifestyle/Home,6,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
CordaRoy's,Lifestyle/Home,4,200000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Fishwife,Food and Beverage,15,350000.0,4.0,Neutral,0,61.0,Medium-Low,Consider,1,1
GrindBasketball,Business Services,12,250000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Goverre,Lifestyle/Home,8,200000.0,13.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Vurtego,Fitness/Sports/Outdoors,2,500000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,0,1
GiftCardRescue,Technology/Software,1,150000.0,30.0,Neutral,0,61.0,Medium-Low,Consider,1,1
Fundraiser Blankets,Children/Education,17,300000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
ZipString,Children/Education,14,100000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
DomeDock,Fashion/Beauty,16,100000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
CircadianOptics,Health/Wellness,11,750000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
RigStrips,Children/Education,16,300000.0,7.5,Neutral,0,65.0,Medium-Low,Consider,1,1
KittyKasas,Pet Products,10,200000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Buzzy4Shots,Health/Wellness,5,500000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,0,1
KaansDesigns,Fashion/Beauty,16,75000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
AnimatedLure,Lifestyle/Home,12,325000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Frends,Fashion/Beauty,7,1000000.0,7.6,Neutral,0,65.0,Medium-Low,Consider,0,1
NoPhone,Uncertain/Other,7,25000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,0,1
CashmereHair,Fashion/Beauty,5,45000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Recharj,Business Services,9,75000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,0,1
FlingGolf,Fitness/Sports/Outdoors,12,300000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Pashko,Fashion/Beauty,13,500000.0,2.5,Neutral,0,61.0,Medium-Low,Consider,0,1
RockBands,Fashion/Beauty,4,100000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
CatAmazing,Pet Products,13,200000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Z-Coil,Fashion/Beauty,17,250000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
TheMissionBelt,Fashion/Beauty,4,50000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
WannaDate?,Food and Beverage,11,100000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
EmazingLights,Media/Entertainment,6,650000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
InnovationPet,Pet Products,7,250000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
JumpForward,Children/Education,1,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Rekkie,Fitness/Sports/Outdoors,15,300000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Larq,Health/Wellness,12,500000.0,1.0,Neutral,0,61.0,Medium-Low,Consider,1,1
HargittMarineServices,Fitness/Sports/Outdoors,5,250000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,0,1
TristenIkaika,Lifestyle/Home,13,250000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
TheCleanBottle,Food and Beverage,3,60000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
VegasMagicShow,Media/Entertainment,3,1500000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,0,1
BehaveBras,Fashion/Beauty,13,150000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
IceBeanie,Food and Beverage,12,50000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Lavabox,Lifestyle/Home,14,200000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Cricket’sCandy,Children/Education,16,275000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Milkify,Children/Education,14,400000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
GamedayCouture,Fashion/Beauty,6,500000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Snorinator,Health/Wellness,17,100000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Litter,Fashion/Beauty,3,80000.0,51.0,Neutral,0,58.0,Medium-Low,Conditional,1,1
SoaPen,Lifestyle/Home,13,100000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
SeeTheWayISee,Fashion/Beauty,14,250000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
RinseKit,Fitness/Sports/Outdoors,8,250000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
HotTot,Children/Education,4,50000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
GobieH20,Travel,4,300000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
DingleDangle,Children/Education,15,75000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
KodiakCakes,Food and Beverage,5,500000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Pawnix,Pet Products,13,150000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
BoogieBoxFitness,Fitness/Sports/Outdoors,1,700000.0,70.0,Neutral,0,58.0,Medium-Low,Conditional,0,1
Nomiku,Food and Beverage,8,250000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
